Timestamp,Division,Enrollment Number,Roll Number,URL (Google Colab Notebook or PDF Version on Google Drive)
8/16/2023 21:48:26,5B6,210303124683,11,https://colab.research.google.com/drive/1Pt3yxVvbjG7MitOxboLBSUc-9cVpMJV8?usp=sharing
8/16/2023 21:52:46,5B6,210303124681,10,https://colab.research.google.com/drive/1Pt3yxVvbjG7MitOxboLBSUc-9cVpMJV8?usp=sharing
8/16/2023 22:09:07,5B6,210303124696,21,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/16/2023 22:32:35,5B6,210303124126,50,https://colab.research.google.com/drive/10Pyt2RGvOh-5Z2DBpq-Yi4JQdGVaZKhF?usp=sharing
8/17/2023 0:21:18,5B6,210303124132,55,https://colab.research.google.com/drive/1pqhdSvCPcWoK8OwsVsU_3zOVLTZqZR4v?usp=sharing
8/17/2023 7:49:16,5B6,210303124679,08,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 7:50:49,5B6,210303124691,16,https://colab.research.google.com/drive/1n9Lw4p-xFRgAefLrtGKKsyiCeQdjOxCI?usp=sharing
8/17/2023 7:51:22,5B6,210303124690,15,https://colab.research.google.com/drive/1n9Lw4p-xFRgAefLrtGKKsyiCeQdjOxCI?usp=sharing
8/17/2023 7:54:30,5B6,210303124156,67,https://colab.research.google.com/drive/1B9RjjDsZAYtdsm3KznRE2tigSyK9AEiS#scrollTo=RwXEbbxvLXGF
8/17/2023 7:56:08,5B6,210303124694,19,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 7:56:32,5B6,210303124693,18,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 8:02:45,5B6,210303124695,20,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 8:03:41,5B6,210303124157,68,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 8:04:00,5B6,210303124104,40,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 8:06:34,5B6,210303124686,14,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 8:22:26,5B6,210303124149,63,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 9:25:50,5B6,210303124671,1,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/17/2023 10:32:39,5B6,210303124079,28,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/21/2023 8:22:41,5B6,210303124096,36,https://colab.research.google.com/drive/1wEYkUfK5-Jj9Ns4BunKHj1Pam1As-wuK?usp=sharing
8/21/2023 9:12:30,5B6,210303124133,56,https://colab.research.google.com/drive/1aDDpxmKI2xDgT-E4kDu9Zama-jmv94Bi?usp=sharing
8/21/2023 14:19:54,5B6,210303124128,51,https://colab.research.google.com/drive/1mYB2SjI8VcgmN1MNN2ikMAVUzuy-h-Qe?usp=sharing
8/21/2023 14:20:06,5B6,210303124119,47,https://colab.research.google.com/drive/1A-gCHvXwuXJOmrnwjQun3iyLiqZ-Eyw7?usp=sharing
8/22/2023 10:51:01,5B6,210303124151,64,https://colab.research.google.com/drive/1nbtGSY3gq-P_9zMUV2FACR_GRATGiGB4?usp=sharing
8/3/2023 13:28:30,5B7,210303124183,11,colab notebook
8/3/2023 13:28:56,5B7,210303124166,2,Notebook
8/3/2023 13:40:31,5B7,210303124200,18,https://colab.research.google.com/drive/1gV-43iijDr2niuTtV0ZdYUmP_1SPV9uF#scrollTo=wkegHsBALV2F
8/3/2023 13:44:35,5B7,2203031247038,41,https://colab.research.google.com/drive/1gV-43iijDr2niuTtV0ZdYUmP_1SPV9uF#scrollTo=8H0MpRr0ars4
8/3/2023 14:41:36,5B7,2203071247033,39,https://colab.research.google.com/drive/1SBWzAPYxOZx5MC0lzvBb4iJsQU03TBEd?usp=sharing
8/3/2023 16:59:48,5B7,2203031247006,27,https://colab.research.google.com/drive/1Fu0IEgJvcK7w297OL4HFLznS221npHfD?usp=sharing
8/3/2023 17:30:17,5B7,2203031247031,38,https://colab.research.google.com/drive/11AHQ0PKbhfCJtqsHMLTAWFtoxKzwkM94?usp=sharing
8/3/2023 19:09:27,5B7,210303124167,3,https://colab.research.google.com/drive/1oRIzyEbpIUCSdWqD-PewSXcjXC8t-gX8?usp=drive_link
8/3/2023 21:18:50,5B7,2203031247014,30,https://colab.research.google.com/drive/1Fu0IEgJvcK7w297OL4HFLznS221npHfD?usp=sharing
8/3/2023 21:49:07,5B7,210303124193,15,https://colab.research.google.com/drive/1-m7GE_VgcUxGvkn6jZrR7orFVPYu-hTT?usp=sharing
8/4/2023 8:40:42,5B7,2203031247038,41,https://colab.research.google.com/drive/1gV-43iijDr2niuTtV0ZdYUmP_1SPV9uF?usp=drive_link
8/4/2023 11:04:27,5B7,210303124162,1,https://colab.research.google.com/drive/1bDdgDQi5RhSaW4sgLvX_6yxJjCWpIC1R?usp=sharing (google_collab)  and   https://drive.google.com/file/d/1sIMKE5MIpNtsuM2zGXQenRJLRiniuTWY/view?usp=sharing (Pdf)
8/4/2023 11:36:56,5B7,21030324255,65,https://colab.research.google.com/drive/1JaQZDqnNjwe5SVacD46krHPferziiczx?usp=sharing (Google Collab) and https://drive.google.com/file/d/1sV6VWHxWx6Nog5aozpWW6OZ75-aVTFPt/view?usp=sharing (Pdf)
